195,192,178
188,187,172
206,208,191
151,151,135
118,111,99
128,135,111
123,127,101
144,140,125
151,149,134
172,156,141
90,81,60
92,95,77
113,112,97
154,148,135
197,183,172
193,173,164
183,166,156
140,131,118
107,95,83
204,189,181
191,180,174
40,35,27
15,29,16
47,62,49
153,145,138
241,229,221
178,166,157
169,145,138
158,135,128
114,101,89
181,162,153
163,130,126
165,146,137
202,202,187
167,154,147
141,126,119
180,166,159
185,170,163
188,172,167
180,172,159
161,148,130
138,130,99
171,163,139
175,166,154
201,190,182
203,190,176
217,208,192
227,228,220
168,177,157
111,119,93
159,144,121
205,169,148
239,179,168
204,175,160
148,146,127
194,142,141
242,190,185
111,136,101
19,56,23
126,135,114
142,127,112
132,108,95
168,148,131
171,158,141
157,152,138
153,154,137
184,193,173
192,199,180
158,152,141
131,139,113
93,98,69
117,108,93
159,153,137
215,194,180
182,176,152
88,99,77
86,91,75
138,134,120
148,135,124
156,133,124
240,219,210
222,216,201
134,121,109
119,102,95
209,196,191
150,138,131
7,20,8
9,25,16
141,127,124
214,197,192
168,154,146
151,126,121
168,146,137
153,144,131
159,135,127
161,108,110
152,117,110
145,142,126
177,163,157
173,156,150
206,190,184
233,217,210
227,209,204
223,214,201
218,199,183
193,169,148
167,146,127
151,133,117
112,94,80
160,137,125
203,184,170
191,180,160
141,133,115
141,128,112
184,164,150
215,176,166
166,112,104
169,152,134
176,171,156
194,141,143
171,131,122
81,106,69
63,86,50
189,170,147
231,174,165
186,124,119
181,146,133
145,135,120
81,80,68
151,157,143
230,234,221
197,193,180
181,164,155
74,86,60
54,73,40
188,185,166
226,220,201
191,179,158
115,117,88
133,143,121
138,141,126
127,124,109
169,158,146
203,182,173
187,170,161
160,159,146
201,195,183
96,87,76
122,115,106
155,155,146
108,112,102
103,103,94
141,131,124
142,129,124
137,123,119
167,149,145
162,150,141
102,102,88
130,120,109
202,169,166
182,151,149
125,111,105
216,201,192
204,188,178
182,167,159
160,145,138
168,150,143
157,155,143
126,128,117
190,170,160
180,166,149
166,156,132
113,102,79
168,155,140
217,195,184
213,190,177
228,206,195
216,191,183
163,156,140
195,164,155
165,141,127
125,123,105
186,154,153
219,189,188
87,100,75
50,66,32
159,150,115
125,108,73
113,88,57
149,122,100
154,128,117
170,152,143
189,184,170
161,171,158
225,222,217
189,172,168
187,168,158
148,149,131
86,97,74
103,113,88
99,106,80
126,125,98
132,122,98
195,189,173
169,164,151
123,115,102
184,171,159
193,177,165
164,150,141
133,125,120
175,163,153
165,150,137
144,131,118
144,136,129
159,154,147
92,99,85
3,19,2
91,95,82
208,195,188
201,189,182
183,172,163
110,101,88
101,102,82
211,214,194
184,177,170
157,139,140
158,147,135
113,105,92
108,102,92
123,119,112
136,130,123
105,107,103
77,90,88
111,107,91
106,106,83
102,106,78
127,125,99
211,194,180
182,168,156
134,134,115
226,213,197
227,210,197
178,178,157
176,175,156
179,154,143
159,132,123
189,150,148
213,175,173
135,138,116
65,83,51
115,130,95
127,129,95
138,124,94
132,115,91
163,155,141
199,183,169
217,180,160
168,160,142
147,151,136
176,178,165
203,203,188
211,191,180
192,165,156
120,121,100
73,81,56
119,109,88
196,167,151
188,176,162
178,172,159
187,177,165
158,146,134
192,178,167
196,181,171
201,189,179
185,165,152
219,191,177
186,156,145
180,148,142
145,127,126
60,66,61
15,26,14
110,110,97
195,182,168
176,164,148
189,174,159
193,172,157
171,152,133
169,155,136
188,179,165
158,155,145
108,116,109
114,121,116
110,120,115
108,121,118
91,104,102
111,126,128
136,156,158
97,103,83
45,57,30
51,68,35
108,115,86
174,159,143
177,162,151
169,168,152
129,127,106
126,136,109
113,131,103
210,220,200
219,201,193
175,152,144
189,150,146
191,147,143
198,186,168
110,110,87
143,131,112
229,206,188
164,136,117
151,124,107
158,150,138
190,165,153
229,159,140
218,185,167
168,163,146
156,158,142
193,184,170
165,150,139
145,128,118
167,152,140
166,153,137
146,135,117
166,158,138
126,126,109
144,145,130
196,197,181
106,107,91
182,182,166
173,172,157
164,160,143
180,167,148
226,202,184
187,159,144
164,135,126
155,123,121
139,116,114
176,171,162
